category,order_date,orders_count,rolling_mean_30,rolling_std_30,z_score
garden_tools,2017-03-13,9,3.066666666666667,1.7603552410558057,3.3705318079859308
garden_tools,2017-03-15,10,3.3333333333333335,2.154919525392895,3.0936963483363344
garden_tools,2017-07-18,24,4.033333333333333,4.246567241117622,4.701836926856666
garden_tools,2017-11-16,18,7.5,3.0933744547405446,3.3943514287153067
garden_tools,2017-11-24,86,11.333333333333334,14.546793303071945,5.132860906939456
garden_tools,2018-02-13,21,8.266666666666667,3.795944599477025,3.3544571053770462
garden_tools,2018-04-19,16,6.933333333333334,2.9703515794846687,3.0523883870473196
garden_tools,2018-08-06,15,5.2,3.144782213828771,3.11627303057928
health_beauty,2017-08-01,19,9.166666666666666,3.184914152833563,3.087472020112312
health_beauty,2017-11-24,81,13.466666666666667,13.366797087104151,5.052319781115498
health_beauty,2018-05-02,45,21.866666666666667,7.528031905339915,3.0729589917019338
home_appliances,2017-06-14,4,1.5,0.8200084103858009,3.048749218101056
home_appliances,2017-06-27,5,1.7333333333333334,1.0806553992619583,3.02285693376229
home_appliances,2017-08-17,5,1.9,1.0288929437289247,3.0129470892908907
home_appliances,2017-11-28,6,1.8,1.2703515668696899,3.3061713855711155
home_appliances,2018-03-15,7,2.466666666666667,1.4558640835892127,3.113843788327469
home_appliances_2,2017-08-14,3,1.1333333333333333,0.4341724854553046,4.299366563289116
home_appliances_2,2017-08-22,3,1.2,0.5508613944197477,3.2676096350807775
home_appliances_2,2018-07-19,4,1.3666666666666667,0.7183954022841378,3.665576540385213
home_confort,2017-09-18,5,1.4,0.9321831993987976,3.861901826080737
home_confort,2017-11-24,7,1.7,1.1788363637137227,4.495959034808915
home_confort,2018-07-26,4,1.4333333333333333,0.7738543627276664,3.316730886700349
home_construction,2017-10-25,3,1.1666666666666667,0.4611330373774141,3.9757145654971637
home_construction,2017-11-24,8,1.5,1.3326147488923863,4.877628741091549
home_construction,2018-02-27,5,1.6333333333333333,0.8899179866642241,3.7831201494042253
home_construction,2018-06-11,6,2.466666666666667,1.1058881072455413,3.1950188361586425
home_construction,2018-08-05,8,2.066666666666667,1.5742175578808129,3.7690681974864355
housewares,2017-04-25,12,4.4,2.298425248009963,3.306611779774121
housewares,2017-06-27,22,9.266666666666667,4.084734687989465,3.117297525044587
housewares,2017-11-24,48,8.833333333333334,8.13711519386084,4.813335651953963
industry_commerce_and_business,2017-12-18,2,1.0666666666666667,0.2537081317024624,3.6787679096857056
industry_commerce_and_business,2018-01-05,4,1.2,0.6102571532587294,4.58822970783415
kitchen_dining_laundry_garden_furniture,2018-01-24,4,1.4666666666666666,0.7302967433402214,3.468909530866052
kitchen_dining_laundry_garden_furniture,2018-08-03,4,1.3,0.6512587281829569,4.145817757457362
luggage_accessories,2017-03-28,4,1.4333333333333333,0.7279320417946061,3.525970172076694
luggage_accessories,2017-04-05,4,1.5333333333333334,0.819307248726686,3.0106735543963508
luggage_accessories,2017-04-13,5,1.7666666666666666,1.0400044208570935,3.1089611433273165
luggage_accessories,2017-05-21,6,2.033333333333333,1.2452207485597393,3.1855128267454873
luggage_accessories,2017-06-01,8,2.6333333333333333,1.6709141279516746,3.2118147646794446
luggage_accessories,2018-01-15,10,2.6666666666666665,2.056668436445521,3.56563712622892
luggage_accessories,2018-07-31,7,1.9,1.2958820721144277,3.9355432949840705
luggage_accessories,2018-08-08,9,2.5,1.833594547744195,3.5449494589721127
market_place,2017-04-27,3,1.3333333333333333,0.5466722735905339,3.048749218101056
market_place,2017-08-08,3,1.3333333333333333,0.5466722735905338,3.0487492181010563
market_place,2018-02-07,3,1.1666666666666667,0.4611330373774139,3.9757145654971655
market_place,2018-05-13,3,1.2,0.4842341981115022,3.717209579620651
music,2018-08-12,2,1.0333333333333334,0.18257418583505536,5.294651389216606
musical_instruments,2017-07-14,3,1.2666666666666666,0.5208304597621878,3.3280183615312686
musical_instruments,2017-11-24,9,1.6666666666666667,1.538770967998169,4.765708143605981
musical_instruments,2018-03-19,5,1.8,0.8866830868758704,3.6089557220210953
musical_instruments,2018-03-20,5,1.8666666666666667,1.041660919524375,3.0080165959994174
office_furniture,2017-10-12,6,2.0,1.0827805840074207,3.6941925807311913
office_furniture,2018-07-19,8,2.2666666666666666,1.4605934866804393,3.9253449954537003
perfumery,2017-03-14,6,2.1,1.2689936278745466,3.073301484210097
perfumery,2017-03-20,10,2.7666666666666666,2.1922014338187035,3.2995751310741706
perfumery,2017-11-24,58,7.6,10.074207421550035,5.002874954925771
perfumery,2018-06-11,19,5.8,3.8092446531544972,3.465253928772694
perfumery,2018-08-03,18,6.4,3.820092073272029,3.036576024217195
pet_shop,2017-11-24,10,2.7,2.215151586624296,3.295485529784706
pet_shop,2018-02-03,8,2.6666666666666665,1.5829551877538357,3.3692257207237613
signaling_and_security,2018-02-06,2,1.0333333333333334,0.18257418583505536,5.294651389216606
signaling_and_security,2018-02-15,3,1.1,0.40257789993644877,4.71958346521241
signaling_and_security,2018-04-25,4,1.3,0.7022132498578064,3.8449858366340033
