category,total_orders,total_revenue,active_months,monthly_mean,monthly_std,cv,peak_to_mean,peak_to_min,peak_month_share,peak_quarter_share,seasonal_index_max,peak_month,peak_quarter,confidence_level,event_spike_count,max_spike_z_score,weekly_pattern_strength,trend_strength,seasonality_score,seasonality_type
fashion_childrens_clothes,4,349.98,4,0.3333333333333333,0.4714045207910317,1.4142135623730951,3.0,1.0,0.25,0.5,3.0,5,2,low,0.0,,1.1428571428571428,0.30769230769230765,1.4142135623730951,low_confidence
la_cuisine,10,1273.99,6,0.8333333333333334,1.1426091000668408,1.3711309200802089,4.8,4.0,0.4,0.6,4.8,7,3,low,0.0,,1.1538461538461537,0.17307692307692293,1.3711309200802089,low_confidence
party_supplies,9,1843.4,5,0.75,1.0103629710818451,1.3471506281091268,4.0,3.0,0.3333333333333333,0.7777777777777778,4.0,11,4,low,0.0,,1.289473684210526,0.8846153846153847,1.3471506281091268,low_confidence
computers,121,156280.8,7,10.083333333333334,13.456462718295953,1.3345252282607556,3.867768595041322,39.0,0.32231404958677684,0.5537190082644629,3.867768595041322,9,3,medium,1.0,3.6013801035584714,0.9491525423728815,0.7031558185404341,1.3345252282607556,trend_driven
music,11,1558.39,6,0.9166666666666666,1.1873172373979173,1.2952551680704554,4.363636363636364,4.0,0.36363636363636365,0.5454545454545454,4.363636363636364,6,2,low,1.0,5.294651389216606,1.2894736842105263,0.3365384615384615,1.2952551680704554,low_confidence
construction_tools_construction,100,19221.879999999997,10,8.333333333333334,10.442966798547028,1.2531560158256432,4.319999999999999,36.0,0.36,0.73,4.319999999999999,11,4,medium,5.0,5.2946513892166065,0.5230978260869565,0.735042735042735,1.2531560158256432,trend_driven
books_imported,11,947.99,6,0.9166666666666666,1.114924013354971,1.2162807418417865,3.272727272727273,3.0,0.2727272727272727,0.45454545454545453,3.272727272727273,9,4,low,1.0,3.6787679096857047,1.5399999999999998,0.8076923076923076,1.2162807418417865,low_confidence
costruction_tools_tools,21,4087.29,6,1.75,2.1262251370288454,1.2149857925879117,3.4285714285714284,6.0,0.2857142857142857,0.7142857142857143,3.4285714285714284,12,4,low,1.0,3.7172095796206506,0.6494845360824741,0.9038461538461539,1.2149857925879117,low_confidence
home_construction,110,23742.45,11,9.166666666666666,10.526421783092086,1.148336921791864,3.6,33.0,0.3,0.7,3.6,11,4,medium,5.0,4.877628741091549,0.42028985507246386,0.7738927738927738,1.148336921791864,trend_driven
cine_photo,8,695.0,7,0.6666666666666666,0.6236095644623235,0.9354143466934853,3.0,2.0,0.25,0.5,3.0,4,2,low,0.0,,0.7777777777777778,0.03846153846153844,0.9354143466934853,low_confidence
