product_id,category,total_orders,total_revenue,active_months,seasonality_score,peak_to_mean,peak_month,peak_quarter,peak_quarter_share,confidence_level
711ffb7574aa22c89aa744dd74fefd5c,garden_tools,1,664.9,1,3.3166247903554,12.0,3,1,1.0,low
71218f861be8873ed7900874b9497582,furniture_decor,1,49.0,1,3.3166247903554,12.0,3,1,1.0,low
7124ca1f9c1598c0ad3166988e93d5c1,baby,1,99.0,1,3.3166247903554,12.0,3,1,1.0,low
7128387d10541a345331eb7bfb9afbcc,market_place,2,139.8,1,3.3166247903554,12.0,3,1,1.0,low
71382293e7e1570ecfca5410c546267e,perfumery,1,39.99,1,3.3166247903554,12.0,10,4,1.0,low
713ac8acf21beae2f7d24437b632c14b,housewares,1,28.9,1,3.3166247903554,12.0,4,2,1.0,low
715a41d0a95641fda38167ad49142b7c,cool_stuff,1,79.9,1,3.3166247903554,12.0,2,1,1.0,low
715c4b03fc180db258f11f6808749674,health_beauty,1,169.0,1,3.3166247903554,12.0,12,4,1.0,low
715ff1d94c99db18163cae1eb40f9bb0,bed_bath_table,1,16.9,1,3.3166247903554,12.0,12,4,1.0,low
7166b2d3c09b93e04279029b28c498e4,pet_shop,1,89.5,1,3.3166247903554,12.0,5,2,1.0,low
d412d78a36f204c033b6ec60d874bc75,cool_stuff,1,29.9,1,3.3166247903554,12.0,7,3,1.0,low
7167af17015615b513d5b429758969a2,unknown,1,244.99,1,3.3166247903554,12.0,5,2,1.0,low
716854aa9d670cabfec04c7eeddd85b8,fashion_male_clothing,1,49.9,1,3.3166247903554,12.0,6,2,1.0,low
71ca28a845714b71b378d81e93f0b183,furniture_decor,1,299.0,1,3.3166247903554,12.0,5,2,1.0,low
71cc431cc19ca0b0bb8bcd909b5037e2,sports_leisure,1,114.9,1,3.3166247903554,12.0,8,3,1.0,low
71d22271ee986bf5a46a2c199da0265b,bed_bath_table,1,39.9,1,3.3166247903554,12.0,7,3,1.0,low
71d9c2b8b10871fa61851922aabc292d,bed_bath_table,1,73.5,1,3.3166247903554,12.0,11,4,1.0,low
716fce31a0173fb20b8b729d68f1446a,computers_accessories,1,167.0,1,3.3166247903554,12.0,8,3,1.0,low
717e3638662e1747dea15a605cba7914,furniture_decor,1,350.0,1,3.3166247903554,12.0,12,4,1.0,low
71835d687609f578b92692f98ab16100,furniture_decor,2,99.98,1,3.3166247903554,12.0,12,4,1.0,low
7185389e32acf9c5c5f61e6a23c0ab3a,bed_bath_table,1,137.8,1,3.3166247903554,12.0,11,4,1.0,low
7167a194119e3d3b0da13963e0417c8e,sports_leisure,1,152.0,1,3.3166247903554,12.0,8,3,1.0,low
70b04b1d699a19d1b0aed994d64d13f9,perfumery,2,498.0,1,3.3166247903554,12.0,6,2,1.0,low
70b487a87fee25bc56455501bdc83501,bed_bath_table,1,179.9,1,3.3166247903554,12.0,10,4,1.0,low
70bb7d3170b6c24d2f80415d99bb8001,dvds_blu_ray,1,69.99,1,3.3166247903554,12.0,6,2,1.0,low
70bf4f61950297cf24e18a9b84c3208a,housewares,1,18.95,1,3.3166247903554,12.0,11,4,1.0,low
70c045e016db654c9c8fd04c4ce334c1,housewares,1,39.2,1,3.3166247903554,12.0,5,2,1.0,low
d41a2d62b53242957d8f2107d2e82e51,audio,1,39.9,1,3.3166247903554,12.0,4,2,1.0,low
d41a53937c9fddcd3aafd96be7d4f345,bed_bath_table,1,79.9,1,3.3166247903554,12.0,1,1,1.0,low
d41fdddc347b82c2904b477df7fcea9e,furniture_decor,1,156.99,1,3.3166247903554,12.0,10,4,1.0,low
